,State,City,Area,Year,Season,SO2,NO2,RSPM,SPM,PM_2.5
48,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Autumn,4.29,16.29,101.44,,
49,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Spring,4.0,13.5,105.46,,
50,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Summer,6.0,15.04,101.89,,
51,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Winter,6.0,16.0,200.4,,
52,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Autumn,,,154.47,,
53,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Spring,,,122.42,,
54,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Summer,,,103.29,,
55,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Winter,,,94.1,,
56,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Autumn,5.0,24.7,66.74,,
57,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Spring,4.89,22.0,76.56,,
58,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Summer,5.0,22.72,78.93,,
59,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Winter,5.0,23.56,86.96,,
60,Andhra Pradesh,Guntur,Residential and others,2009.0,Autumn,4.0,9.0,83.9,216.95,
61,Andhra Pradesh,Guntur,Residential and others,2009.0,Spring,4.0,9.0,80.0,198.5,
62,Andhra Pradesh,Guntur,Residential and others,2009.0,Summer,4.0,9.0,88.64,217.27,
63,Andhra Pradesh,Guntur,Residential and others,2009.0,Winter,4.0,9.0,92.6,238.0,
64,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Autumn,2.0,10.89,77.67,,
65,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Spring,2.0,11.21,85.93,,
66,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Summer,2.0,11.2,79.5,,
67,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Winter,2.0,11.85,80.56,,
68,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Autumn,4.06,9.6,74.57,188.95,
69,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Spring,3.86,10.46,73.6,187.44,
70,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Summer,3.55,9.81,74.47,187.71,
71,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Winter,3.77,9.62,74.67,187.5,
72,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2012.0,Autumn,4.88,11.36,74.96,,
73,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2012.0,Spring,5.63,11.19,74.96,,
74,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2012.0,Summer,5.81,11.23,74.5,,
75,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2012.0,Winter,5.48,12.41,75.74,,
76,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2013.0,Autumn,4.59,15.68,74.45,,
77,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2013.0,Spring,4.26,17.19,78.7,,
78,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2013.0,Summer,4.23,16.03,70.81,,
79,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2013.0,Winter,4.68,18.41,76.05,,
80,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2014.0,Autumn,4.86,22.14,78.38,,
81,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2014.0,Spring,4.7,23.41,77.15,,
82,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2014.0,Summer,4.96,23.54,76.92,,
83,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2014.0,Winter,4.88,20.88,87.0,,
84,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2015.0,Autumn,5.0,26.33,90.22,,
85,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2015.0,Spring,4.85,24.0,113.41,,
86,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2015.0,Summer,5.0,25.84,91.52,,
87,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2015.0,Winter,5.0,26.21,104.88,,
131,Andhra Pradesh,Hyderabad,Industrial Area,2001.0,Autumn,7.2,14.2,,63.67,
132,Andhra Pradesh,Hyderabad,Industrial Area,2001.0,Spring,9.87,9.5,,77.67,
133,Andhra Pradesh,Hyderabad,Industrial Area,2001.0,Summer,8.97,11.07,,71.33,
134,Andhra Pradesh,Hyderabad,Industrial Area,2001.0,Winter,14.53,9.9,,101.67,
135,Andhra Pradesh,Hyderabad,Industrial Area,2002.0,Autumn,11.43,19.9,,75.0,
136,Andhra Pradesh,Hyderabad,Industrial Area,2002.0,Spring,8.07,12.53,,83.67,
137,Andhra Pradesh,Hyderabad,Industrial Area,2002.0,Summer,6.7,14.77,,54.67,
138,Andhra Pradesh,Hyderabad,Industrial Area,2002.0,Winter,10.0,17.07,,80.33,
139,Andhra Pradesh,Hyderabad,Industrial Area,2004.0,Autumn,4.28,33.91,84.05,238.72,
140,Andhra Pradesh,Hyderabad,Industrial Area,2004.0,Spring,4.79,46.16,83.2,226.64,
141,Andhra Pradesh,Hyderabad,Industrial Area,2004.0,Summer,4.39,29.7,72.59,188.26,
142,Andhra Pradesh,Hyderabad,Industrial Area,2004.0,Winter,5.18,50.1,96.85,236.1,
143,Andhra Pradesh,Hyderabad,Industrial Area,2010.0,Autumn,4.12,17.16,38.41,,
144,Andhra Pradesh,Hyderabad,Industrial Area,2010.0,Spring,3.67,16.71,43.0,,
145,Andhra Pradesh,Hyderabad,Industrial Area,2010.0,Summer,3.47,17.9,24.35,,
146,Andhra Pradesh,Hyderabad,Industrial Area,2010.0,Winter,3.8,19.9,48.05,,
147,Andhra Pradesh,Hyderabad,Industrial Area,2011.0,Autumn,4.7,32.7,89.58,241.72,
148,Andhra Pradesh,Hyderabad,Industrial Area,2011.0,Spring,4.58,30.97,100.05,267.46,
149,Andhra Pradesh,Hyderabad,Industrial Area,2011.0,Summer,4.44,28.74,77.72,219.04,
150,Andhra Pradesh,Hyderabad,Industrial Area,2011.0,Winter,5.01,33.62,103.84,295.0,
151,Andhra Pradesh,Hyderabad,Industrial Area,2012.0,Autumn,5.02,29.19,132.0,,
152,Andhra Pradesh,Hyderabad,Industrial Area,2012.0,Spring,4.95,28.77,123.6,,
153,Andhra Pradesh,Hyderabad,Industrial Area,2012.0,Summer,4.93,26.57,102.05,,
154,Andhra Pradesh,Hyderabad,Industrial Area,2012.0,Winter,4.91,30.21,139.55,,
155,Andhra Pradesh,Hyderabad,Industrial Area,2013.0,Autumn,5.39,30.35,128.18,,
156,Andhra Pradesh,Hyderabad,Industrial Area,2013.0,Spring,5.67,32.1,120.64,,
157,Andhra Pradesh,Hyderabad,Industrial Area,2013.0,Summer,5.11,24.51,83.02,,
158,Andhra Pradesh,Hyderabad,Industrial Area,2013.0,Winter,7.29,28.82,139.54,,
159,Andhra Pradesh,Hyderabad,Industrial Area,2005.0,Autumn,5.62,24.9,82.11,219.88,
160,Andhra Pradesh,Hyderabad,Industrial Area,2005.0,Spring,5.39,31.61,80.41,241.66,
161,Andhra Pradesh,Hyderabad,Industrial Area,2005.0,Summer,4.95,25.54,70.46,251.8,
162,Andhra Pradesh,Hyderabad,Industrial Area,2005.0,Winter,5.52,28.7,85.06,230.36,
163,Andhra Pradesh,Hyderabad,Industrial Area,2006.0,Autumn,5.38,31.12,89.7,253.58,
164,Andhra Pradesh,Hyderabad,Industrial Area,2006.0,Spring,5.72,28.16,89.74,245.26,
165,Andhra Pradesh,Hyderabad,Industrial Area,2006.0,Summer,5.42,28.93,82.84,235.14,
166,Andhra Pradesh,Hyderabad,Industrial Area,2006.0,Winter,5.95,30.74,100.87,276.61,
167,Andhra Pradesh,Hyderabad,Industrial Area,2007.0,Autumn,4.98,30.04,89.57,248.14,
168,Andhra Pradesh,Hyderabad,Industrial Area,2007.0,Spring,5.32,32.98,92.15,258.66,
169,Andhra Pradesh,Hyderabad,Industrial Area,2007.0,Summer,5.34,28.98,67.7,210.99,
170,Andhra Pradesh,Hyderabad,Industrial Area,2007.0,Winter,5.36,33.15,104.7,284.88,
171,Andhra Pradesh,Hyderabad,Industrial Area,2008.0,Autumn,6.21,30.28,91.67,232.79,
172,Andhra Pradesh,Hyderabad,Industrial Area,2008.0,Spring,4.83,27.53,88.79,236.79,
173,Andhra Pradesh,Hyderabad,Industrial Area,2008.0,Summer,4.76,27.77,90.54,249.67,
174,Andhra Pradesh,Hyderabad,Industrial Area,2008.0,Winter,4.77,25.81,93.74,258.47,
175,Andhra Pradesh,Hyderabad,Industrial Area,2009.0,Autumn,5.68,24.62,93.26,250.33,
176,Andhra Pradesh,Hyderabad,Industrial Area,2009.0,Spring,4.74,24.12,90.32,264.87,
177,Andhra Pradesh,Hyderabad,Industrial Area,2009.0,Summer,4.6,22.7,75.68,216.91,
178,Andhra Pradesh,Hyderabad,Industrial Area,2009.0,Winter,4.93,24.04,93.96,258.4,
179,Andhra Pradesh,Hyderabad,Residential and others,2005.0,Autumn,5.74,27.68,77.99,215.92,
180,Andhra Pradesh,Hyderabad,Residential and others,2005.0,Spring,5.88,36.85,82.08,226.02,
181,Andhra Pradesh,Hyderabad,Residential and others,2005.0,Summer,5.03,27.63,69.28,212.3,
182,Andhra Pradesh,Hyderabad,Residential and others,2005.0,Winter,6.86,33.98,85.23,233.44,
183,Andhra Pradesh,Hyderabad,Residential and others,2006.0,Autumn,4.86,24.42,78.02,198.86,
184,Andhra Pradesh,Hyderabad,Residential and others,2006.0,Spring,4.91,26.8,85.88,228.59,
185,Andhra Pradesh,Hyderabad,Residential and others,2006.0,Summer,4.94,25.87,80.63,207.4,
186,Andhra Pradesh,Hyderabad,Residential and others,2006.0,Winter,4.9,27.57,91.36,239.36,
187,Andhra Pradesh,Hyderabad,Residential and others,2007.0,Autumn,4.88,26.54,81.87,233.5,
188,Andhra Pradesh,Hyderabad,Residential and others,2007.0,Spring,5.17,27.5,85.98,242.84,
189,Andhra Pradesh,Hyderabad,Residential and others,2007.0,Summer,4.98,23.15,59.31,179.68,
190,Andhra Pradesh,Hyderabad,Residential and others,2007.0,Winter,5.25,24.99,88.67,233.98,
191,Andhra Pradesh,Hyderabad,Residential and others,2008.0,Autumn,6.87,31.6,97.34,247.35,
192,Andhra Pradesh,Hyderabad,Residential and others,2008.0,Spring,5.29,27.6,84.05,234.46,
193,Andhra Pradesh,Hyderabad,Residential and others,2008.0,Summer,5.21,24.41,80.18,223.45,
194,Andhra Pradesh,Hyderabad,Residential and others,2008.0,Winter,5.04,22.83,86.26,215.87,
195,Andhra Pradesh,Hyderabad,Residential and others,2009.0,Autumn,5.41,23.41,83.14,231.77,
196,Andhra Pradesh,Hyderabad,Residential and others,2009.0,Spring,4.68,22.58,88.89,263.84,
197,Andhra Pradesh,Hyderabad,Residential and others,2009.0,Summer,4.93,21.12,65.56,201.03,
198,Andhra Pradesh,Hyderabad,Residential and others,2009.0,Winter,5.02,21.84,78.48,224.56,
242,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2001.0,Autumn,8.72,27.92,,130.5,
243,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2001.0,Spring,14.38,19.37,,174.83,
244,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2001.0,Summer,8.35,23.37,,128.83,
245,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2001.0,Winter,16.6,20.65,,206.67,
246,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2002.0,Autumn,14.48,35.4,,109.17,
247,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2002.0,Spring,7.53,25.8,,103.33,
248,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2002.0,Summer,6.38,27.88,,79.67,
249,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2002.0,Winter,12.68,29.43,,115.33,
250,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2004.0,Autumn,2.79,24.22,79.38,222.93,
251,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2004.0,Spring,2.67,18.88,55.04,159.64,
252,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2004.0,Summer,2.78,19.63,71.26,196.49,
253,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2004.0,Winter,2.82,23.84,84.99,226.19,
254,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2010.0,Autumn,5.51,22.53,64.92,,
255,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2010.0,Spring,5.73,26.11,82.39,,
256,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2010.0,Summer,5.39,21.52,48.76,,
257,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2010.0,Winter,5.83,22.8,76.1,,
258,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2011.0,Autumn,5.16,28.9,79.0,217.21,
259,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2011.0,Spring,4.24,28.78,100.23,271.49,
260,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2011.0,Summer,4.08,27.89,83.58,223.56,
261,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2011.0,Winter,4.99,31.0,89.39,275.72,
262,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2012.0,Autumn,4.52,20.93,96.74,,
263,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2012.0,Spring,4.49,22.84,102.19,,
264,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2012.0,Summer,4.46,20.37,77.74,,
265,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2012.0,Winter,4.52,23.39,103.14,,
266,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2013.0,Autumn,4.64,24.77,92.31,,
267,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2013.0,Spring,4.91,24.38,102.51,,
268,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2013.0,Summer,4.48,20.64,69.5,,
269,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",2013.0,Winter,4.96,23.39,106.07,,
270,Andhra Pradesh,Hyderabad,Sensitive Area,2011.0,Autumn,4.14,23.84,72.24,149.97,
271,Andhra Pradesh,Hyderabad,Sensitive Area,2011.0,Spring,4.17,15.75,66.63,177.9,
272,Andhra Pradesh,Hyderabad,Sensitive Area,2011.0,Summer,4.5,14.09,55.88,134.69,
273,Andhra Pradesh,Hyderabad,Sensitive Area,2011.0,Winter,4.21,16.71,87.57,181.09,
274,Andhra Pradesh,Hyderabad,Sensitive Area,2013.0,Autumn,4.05,15.24,99.67,,
275,Andhra Pradesh,Hyderabad,Sensitive Area,2013.0,Spring,4.07,16.78,93.48,,
276,Andhra Pradesh,Hyderabad,Sensitive Area,2013.0,Summer,4.0,12.75,66.75,,
277,Andhra Pradesh,Hyderabad,Sensitive Area,2013.0,Winter,4.0,14.83,105.92,,
278,Andhra Pradesh,Hyderabad,Sensitive Area,2006.0,Autumn,4.8,17.36,54.33,127.67,
279,Andhra Pradesh,Hyderabad,Sensitive Area,2006.0,Spring,4.71,16.22,59.62,137.29,
280,Andhra Pradesh,Hyderabad,Sensitive Area,2006.0,Summer,4.71,16.14,45.38,107.38,
281,Andhra Pradesh,Hyderabad,Sensitive Area,2006.0,Winter,4.59,16.94,85.67,177.56,
282,Andhra Pradesh,Hyderabad,Sensitive Area,2007.0,Autumn,4.76,16.49,48.15,123.9,
283,Andhra Pradesh,Hyderabad,Sensitive Area,2007.0,Spring,4.72,16.74,54.58,141.28,
284,Andhra Pradesh,Hyderabad,Sensitive Area,2007.0,Summer,4.73,18.03,35.75,106.62,
285,Andhra Pradesh,Hyderabad,Sensitive Area,2007.0,Winter,4.79,16.95,68.13,173.33,
286,Andhra Pradesh,Hyderabad,Sensitive Area,2008.0,Autumn,5.47,16.91,60.78,160.57,
287,Andhra Pradesh,Hyderabad,Sensitive Area,2008.0,Spring,4.86,16.84,59.97,167.75,
288,Andhra Pradesh,Hyderabad,Sensitive Area,2008.0,Summer,4.69,15.74,54.06,153.65,
289,Andhra Pradesh,Hyderabad,Sensitive Area,2008.0,Winter,4.89,15.89,50.94,147.35,
290,Andhra Pradesh,Hyderabad,Sensitive Area,2009.0,Autumn,4.8,15.25,58.75,155.52,
291,Andhra Pradesh,Hyderabad,Sensitive Area,2009.0,Spring,4.62,15.15,61.47,178.53,
292,Andhra Pradesh,Hyderabad,Sensitive Area,2009.0,Summer,4.41,14.89,46.69,137.0,
293,Andhra Pradesh,Hyderabad,Sensitive Area,2009.0,Winter,4.74,15.21,64.06,186.62,
294,Andhra Pradesh,Kadapa,Industrial Area,2013.0,Autumn,4.83,9.61,72.57,,
295,Andhra Pradesh,Kadapa,Industrial Area,2013.0,Spring,4.46,9.32,69.18,,
296,Andhra Pradesh,Kadapa,Industrial Area,2013.0,Summer,5.3,10.67,70.64,,
297,Andhra Pradesh,Kadapa,Industrial Area,2013.0,Winter,4.21,9.54,66.5,,
298,Andhra Pradesh,Kadapa,Industrial Area,2014.0,Autumn,4.44,10.22,75.86,,
299,Andhra Pradesh,Kadapa,Industrial Area,2014.0,Spring,4.19,10.33,83.22,,
300,Andhra Pradesh,Kadapa,Industrial Area,2014.0,Summer,4.21,10.18,78.61,,
301,Andhra Pradesh,Kadapa,Industrial Area,2014.0,Winter,5.06,10.29,75.82,,
302,Andhra Pradesh,Kadapa,Industrial Area,2015.0,Autumn,4.3,10.05,65.0,,
303,Andhra Pradesh,Kadapa,Industrial Area,2015.0,Spring,4.73,11.35,71.35,,
304,Andhra Pradesh,Kadapa,Industrial Area,2015.0,Summer,4.96,11.7,75.15,,
305,Andhra Pradesh,Kadapa,Industrial Area,2015.0,Winter,4.96,11.15,68.89,,
318,Andhra Pradesh,Karimnagar,"Residential, Rural and other Areas",2013.0,Autumn,6.69,12.5,69.11,,
319,Andhra Pradesh,Karimnagar,"Residential, Rural and other Areas",2013.0,Spring,10.46,11.31,83.79,,
320,Andhra Pradesh,Karimnagar,"Residential, Rural and other Areas",2013.0,Summer,4.7,11.9,42.26,,
321,Andhra Pradesh,Karimnagar,"Residential, Rural and other Areas",2013.0,Winter,5.43,11.14,88.57,,
322,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2010.0,Autumn,2.0,10.56,60.93,,
323,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2010.0,Spring,2.0,11.19,59.67,,
324,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2010.0,Summer,2.0,10.86,59.48,,
325,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2010.0,Winter,2.0,11.0,66.14,,
326,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2012.0,Autumn,4.88,10.92,62.32,,
327,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2012.0,Spring,5.24,10.43,63.48,,
328,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2012.0,Summer,5.58,10.63,61.95,,
329,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2012.0,Winter,5.16,12.32,63.96,,
330,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2013.0,Autumn,4.5,16.48,62.52,,
331,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2013.0,Spring,4.32,17.4,67.38,,
332,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2013.0,Summer,4.4,16.88,57.77,,
333,Andhra Pradesh,Khammam,"Residential, Rural and other Areas",2013.0,Winter,4.7,17.82,62.79,,
334,Andhra Pradesh,Kurnool,Residential and others,2007.0,Autumn,4.22,15.53,75.5,155.32,
335,Andhra Pradesh,Kurnool,Residential and others,2007.0,Spring,4.0,18.25,83.36,166.04,
336,Andhra Pradesh,Kurnool,Residential and others,2007.0,Summer,4.0,14.23,80.85,184.04,
337,Andhra Pradesh,Kurnool,Residential and others,2007.0,Winter,4.0,18.84,80.5,161.04,
338,Andhra Pradesh,Kurnool,Residential and others,2008.0,Autumn,4.0,9.72,75.32,167.92,
339,Andhra Pradesh,Kurnool,Residential and others,2008.0,Spring,4.0,11.89,69.32,168.71,
340,Andhra Pradesh,Kurnool,Residential and others,2008.0,Summer,4.0,9.66,66.76,171.64,
341,Andhra Pradesh,Kurnool,Residential and others,2008.0,Winter,4.0,10.88,73.29,177.29,
342,Andhra Pradesh,Kurnool,Residential and others,2009.0,Autumn,4.0,9.0,85.38,192.62,
343,Andhra Pradesh,Kurnool,Residential and others,2009.0,Spring,4.0,9.0,76.93,184.0,
344,Andhra Pradesh,Kurnool,Residential and others,2009.0,Summer,4.0,9.0,78.86,179.0,
345,Andhra Pradesh,Kurnool,Residential and others,2009.0,Winter,4.0,9.0,75.55,181.1,
346,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2010.0,Autumn,4.0,9.0,74.17,,
347,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2010.0,Spring,4.0,9.0,87.61,,
348,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2010.0,Summer,4.0,9.0,80.07,,
349,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2010.0,Winter,4.0,9.0,96.8,,
350,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2012.0,Autumn,4.0,9.0,75.27,,
351,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2012.0,Spring,4.0,9.0,69.58,,
352,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2012.0,Summer,4.0,9.0,76.48,,
353,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2012.0,Winter,4.0,9.0,74.32,,
354,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2013.0,Autumn,4.04,9.57,67.7,,
355,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2013.0,Spring,4.04,10.86,84.46,,
356,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2013.0,Summer,4.04,10.81,74.04,,
357,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2013.0,Winter,4.25,9.21,77.42,,
358,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2014.0,Autumn,4.14,9.97,74.95,,
359,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2014.0,Spring,4.19,9.56,82.11,,
360,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2014.0,Summer,4.07,10.15,67.81,,
361,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2014.0,Winter,4.76,11.82,85.88,,
362,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2015.0,Autumn,5.24,10.8,86.41,,
363,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2015.0,Spring,4.93,10.15,89.26,,
364,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2015.0,Summer,4.96,10.19,77.07,,
365,Andhra Pradesh,Kurnool,"Residential, Rural and other Areas",2015.0,Winter,4.63,10.37,76.93,,
390,Andhra Pradesh,Nellore,Residential and others,2009.0,Autumn,6.1,13.8,118.0,193.0,
391,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2010.0,Autumn,2.0,11.88,63.56,,
392,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2010.0,Spring,2.0,11.5,67.83,,
393,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2010.0,Summer,2.0,11.82,63.09,,
394,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2010.0,Winter,2.0,11.48,64.26,,
395,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2012.0,Autumn,5.12,11.35,59.73,,
396,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2012.0,Spring,5.69,10.38,61.85,,
397,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2012.0,Summer,5.86,11.41,67.09,,
398,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2012.0,Winter,5.54,12.0,60.57,,
399,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2013.0,Autumn,4.57,16.19,61.76,,
400,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2013.0,Spring,4.21,16.64,65.93,,
401,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2013.0,Summer,4.25,16.72,60.94,,
402,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2013.0,Winter,4.7,17.65,60.04,,
403,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2015.0,Autumn,5.0,28.5,65.09,,
404,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2015.0,Spring,5.0,26.78,66.7,,
405,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2015.0,Summer,5.0,28.41,67.48,,
406,Andhra Pradesh,Nellore,"Residential, Rural and other Areas",2015.0,Winter,4.85,26.59,64.07,,
407,Andhra Pradesh,Nizamabad,"Residential, Rural and other Areas",2013.0,Autumn,4.75,12.42,55.83,,
408,Andhra Pradesh,Nizamabad,"Residential, Rural and other Areas",2013.0,Spring,5.67,14.0,56.0,,
409,Andhra Pradesh,Nizamabad,"Residential, Rural and other Areas",2013.0,Summer,4.25,12.0,51.25,,
410,Andhra Pradesh,Nizamabad,"Residential, Rural and other Areas",2013.0,Winter,4.88,12.0,57.0,,
411,Andhra Pradesh,Ongole,"Residential, Rural and other Areas",2013.0,Autumn,4.55,16.65,62.05,,
